start,end,text
0.0,2.0,다시 말해봐
2.0,5.0,일단 내가 이천원 먼저 보내줄테니깐
5.0,9.08,1만 2천원 나중에 보내줄게 왜 또 줄어 가격이
9.08,10.54,그만 그렇게 말하면 하지
10.54,11.66,너 왔다며
11.66,14.0,아니 그냥 만원 보내주고
14.0,17.7,"오천원 나중에 돼 12,000원"
17.7,18.02,"12,000원"
18.02,18.72,"12,000원"
18.72,19.3,"아니 천 원이 하자 12,000원에 2,000원"
19.3,27.0,"아니 천원이 뭐 그 자조 저건 많이 터러 12,000원은 그냥 12,000원에 3해 너도 삼촌은 그게 아쉬워?"
27.0,30.0,아니 나는 지금 많이 희생했잖아
30.0,41.0,나는 3천은 내 버스비긴 해가지고 내 교통비라서 아쉬워놔 3천원이 그걸 나중에 내면 된다니까
41.0,44.0,지금 내라는 게 아니냐 몇 번을 말해?
44.0,49.48,언제? 한 보려면 계속 두 달은 기다려야 되는데
49.48,60.0,그건 니가 그냥 일을 안 하는 거네 돈 없다고 찡찡대면서 일단 머리 자르고 돈을 보내주던 연락을 할게
60.0,62.5,있는 돈부터 계산을 해봐야 될 거 아니야
62.5,71.0,남는 돈이 얼마인지 계산 안될 수 있잖아 일단 뭐 뭐가 됐든 이따 말해
71.0,73.34,"그래, 오뽀가 되겠네"
73.34,74.84,엇? 엇보는 아니고
